field1,field2,field3,field4,field5,field6,_GC_TYPE,_X,_Y
서울교통공사,4호선,창동,서울특별시 도봉구 창동 135-1,서울특별시 도봉구 마들로 11길 77,,정,127.04771536518672,37.6532175805741
서울교통공사,4호선,숙대입구(갈월),서울특별시 용산구 갈월동 16-7,서울특별시 용산구 한강대로 지하 306,,정,126.97187642584147,37.54520111946723
서울교통공사,4호선,미아사거리,서울특별시 강북구 미아동 66-1,서울특별시 강북구 도봉로 지하 50,,정,127.03009824793341,37.61328612384502
서울교통공사,4호선,노원,서울특별시 노원구 상계동 602-5,서울특별시 노원구 상계로 69-1,,정,127.06303024884492,37.656267740954824
서울교통공사,4호선,삼각지,서울특별시 용산구 한강로1가 228-1,서울특별시 용산구 한강대로 지하 180,,정,126.97335008475466,37.53438698643129
서울교통공사,4호선,한성대입구(삼선교),서울특별시 성북구 삼선동1가 14,서울특별시 성북구 삼선교로 지하 1,,정,127.0059502894182,37.58839516720445
서울교통공사,4호선,수유(강북구청),서울특별시 강북구 수유동 140,서울특별시 강북구 도봉로 지하 338,,정,127.02535660188366,37.637744824520944
서울교통공사,4호선,혜화,서울특별시 종로구 명륜4가 96-5,서울특별시 종로구 대학로 지하 120,,정,127.00229100367415,37.58187298548507
서울교통공사,4호선,쌍문,서울특별시 도봉구 창동 703-4,서울특별시 도봉구 도봉로 지하 486-1,,정,127.03487954366194,37.64884846710373
서울교통공사,4호선,회현(남대문시장),서울특별시 중구 남창동 64-1,서울특별시 중구 퇴계로 지하 54,,정,126.97823938905248,37.558534219892174
서울교통공사,5호선,김포공항,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 지하77 (방화동),,정,126.80157042193576,37.562144217198956
서울교통공사,4호선,동대문역사문화공원,서울특별시 중구 광희동2가 9,서울특별시 중구 장충단로 지하 230,,정,127.00755096719678,37.565079520442225
서울교통공사,4호선,서울역,서울특별시 용산구 동자동 14-151,서울특별시 용산구 한강대로 지하 392,,정,126.97280495137643,37.55319933505409
서울교통공사,4호선,동대문,서울특별시 종로구 종로6가 287-1,서울특별시종로구 율곡로 지하 308,,정,127.00954671483679,37.57041118803805
서울교통공사,4호선,명동,서울특별시 중구 충무로2가 109-2,서울특별시 중구 퇴계로 지하 126,,정,126.98594708149504,37.56090973278894
서울교통공사,4호선,신용산,서울특별시 용산구 한강로2가 181,서울특별시 용산구 한강대로 지하 112,,정,126.96821568498345,37.52961565655362
서울교통공사,4호선,충무로,서울특별시 중구 필동2가 16-2,서울특별시 중구 퇴계로 지하 199,,정,126.99411058207492,37.5611721345071
서울교통공사,5호선,송정,서울특별시 강서구 공항동 29-5,서울특별시 강서구 공항대로 지하33 (공항동),,정,126.81105410378457,37.561475263331104
서울교통공사,5호선,방화,서울특별시 강서구 방화동 829-15,서울특별시 강서구 금낭화로 지하132 (방화동),,정,126.81263195458051,37.57700732530649
서울교통공사,4호선,이촌(국립중앙박물관),서울특별시 용산구 용산동5가 17-112,서울특별시 용산구 서빙고로 지하 83,,정,126.9736829308762,37.52252036312818
서울교통공사,4호선,총신대입구(이수),서울특별시 동작구 사당동 736-1,서울특별시 동작구 동작대로 지하 117,,정,126.9822004414829,37.48755384183918
서울교통공사,5호선,개화산,서울특별시 강서구 방화동 846,서울특별시 강서구 양천로 22?(방화동),,정,126.80600147870797,37.57226895275586
서울교통공사,4호선,동작(현충원),서울특별시 동작구 동작동 327-1,서울특별시 동작구 현충로 257,,정,126.98026863490684,37.502870242964164
서울교통공사,4호선,남태령,서울특별시 서초구 방배동 2909,서울특별시 서초구 과천대로 지하 816,,정,126.98865674189442,37.46485685130539
서울교통공사,5호선,양평,서울특별시 영등포구 양평동2가 33-79,서울특별시 영등포구 양산로 지하21?(양평동2가),,정,126.88686583893414,37.52551137079959
서울교통공사,5호선,마곡,서울특별시 강서구 가양동 530-6,서울특별시 강서구 공항대로 지하163 (가양동),,정,126.82554831640023,37.560197930016656
서울교통공사,4호선,사당,서울특별시 동작구 사당동 588-44,서울특별시동작구 동작대로 지하 3,,정,126.98159562216307,37.47686286586218
서울교통공사,5호선,목동,서울특별시 양천구 목동 926-3,서울특별시 양천구 오목로 지하245 (목동),,정,126.86473216021605,37.526181263758005
서울교통공사,5호선,화곡,서울특별시 강서구 화곡동 1089-54,서울특별시 강서구 화곡로 지하168 (화곡동),,정,126.84049507933125,37.54143077330346
서울교통공사,5호선,발산,서울특별시 강서구 마곡동 727-1212,서울특별시 강서구 공항대로 지하267 (가양동),,정,126.83730972843085,37.5590278924186
서울교통공사,5호선,영등포구청,서울특별시 영등포구 당산동3가 556-1,서울특별시 영등포구 양산로 지하116?(당산동3가),,정,126.89528893870984,37.524227111819066
서울교통공사,5호선,오목교(목동운동장앞),서울특별시 양천구 목동 406-30,서울특별시 양천구 오목로 지하342 (목동),,정,126.87536050799508,37.52446139781767
서울교통공사,5호선,우장산,서울특별시 강서구 화곡동 1089-3,서울특별시 강서구 강서로 지하262 (화곡동),,정,126.8364084149004,37.54899989893495
서울교통공사,5호선,신정(은행정),서울특별시 양천구 신정동 1090,서울특별시 양천구 오목로 지하179 (신정동),,정,126.85726196070792,37.52543148374382
서울교통공사,5호선,서대문,서울특별시 종로구 평동 210,서울특별시 종로구 통일로 지하126 (평동),,정,126.96663741482402,37.565855396721574
서울교통공사,5호선,까치산,서울특별시 강서구 화곡동 662-5,서울특별시 강서구 강서로 지하54?(화곡동),,정,126.84661163893314,37.53195647971344
서울교통공사,5호선,애오개,서울특별시 마포구 아현동 612,서울특별시 마포구 마포대로 지하210 (아현동),,정,126.95661304095486,37.55336208032999
서울교통공사,5호선,광화문(세종문화회관),서울특별시 종로구 세종로 1-68,서울특별시 종로구 세종대로 지하172 (세종로),,정,126.97678805812392,37.571622566003
서울교통공사,5호선,영등포시장,서울특별시 영등포구 영등포동5가 62-1,서울특별시 영등포구 양산로 지하200 (영등포동5가),,정,126.90495915663845,37.52273492058917
서울교통공사,5호선,충정로(경기대입구),서울특별시 서대문구 충정로3가 248-1,서울특별시 서대문구 충정로 지하28-1 (충정로3가),,정,126.96337313284302,37.560993161550265
서울교통공사,5호선,여의나루,서울특별시 영등포구 여의도동 84-4,서울특별시 영등포구 여의동로 지하343 (여의도동),,정,126.93286448896787,37.527086036400014
서울교통공사,5호선,신길,서울특별시 영등포구 영등포동1가 35,서울특별시 영등포구 경인로114가길 지하9 ?(영등포동1가),,정,126.91433511695229,37.5176648158829
서울교통공사,5호선,공덕,서울특별시 마포구 공덕동 423-29,서울특별시 마포구 마포대로 지하100?(공덕동),,정,126.95136353671212,37.544526221935406
서울교통공사,5호선,답십리,서울특별시 성동구 용답동 99,서울특별시 성동구 천호대로 지하300?(용답동),,정,127.05318105588326,37.56644630916379
서울교통공사,5호선,마포,서울특별시 마포구 도화동 160,서울특별시 마포구 마포대로 지하33 (도화동),,정,126.94544801750092,37.53998553297848
서울교통공사,5호선,장한평,서울특별시 동대문구 장안동 472-3,서울특별시 동대문구 천호대로 지하405 (장안동),,정,127.06417861372921,37.562014019302005
서울교통공사,5호선,왕십리,서울특별시 성동구 행당동 192,서울특별시 성동구 왕십리로 지하300?(행당동),,정,127.03665560322223,37.56122238354875
서울교통공사,5호선,여의도,서울특별시 영등포구 여의도동 3,서울특별시 영등포구 여의나루로 지하40 (여의도동),,정,126.9244846071546,37.52184199752939
서울교통공사,5호선,종로3가(탑골공원),서울특별시 종로구 돈의동 39-1,서울특별시 종로구 돈화문로11길 지하26 (돈의동) ?,,정,126.99006215133008,37.57257118144814
서울교통공사,5호선,마장,서울특별시 성동구 마장동 772,서울특별시 성동구 마장로 지하296 (마장동),,정,127.04316353028928,37.56628268295604
서울교통공사,5호선,청구,서울특별시 중구 신당동 295-2,서울특별시 중구 청구로 지하77?(신당동),,정,127.0138063256488,37.56029404793956
서울교통공사,5호선,을지로4가,서울특별시 중구 주교동 191,서울특별시 중구 창경궁로 지하51 (주교동),,정,126.99805975045416,37.567524564338655
서울교통공사,5호선,행당,서울특별시 성동구 행당동 317-241,서울특별시 성동구 행당로 지하89 (행당동),,정,127.02923171111068,37.55727755169272
서울교통공사,5호선,고덕,서울특별시 강동구 고덕동 310,서울특별시 강동구 고덕로 지하253 (고덕동),,정,127.15394959935311,37.555048166395636
서울교통공사,5호선,신금호,서울특별시 성동구 금호동2가 223-1,서울특별시 성동구 금호로 지하154 (금호동2가),,정,127.02006442153035,37.55453298820737
서울교통공사,5호선,굽은다리(강동구민회관앞),서울특별시 강동구 명일동 345-12,서울특별시 강동구 양재대로 지하1572 (명일동),,정,127.14297118806347,37.54573152935539
서울교통공사,5호선,동대문역사문화공원,서울특별시 중구 광희동1가 235-6,서울특별시 중구 마른내로 지하162 (광희동1가),,정,127.0059167174305,37.56457785225314
서울교통공사,5호선,상일동,서울특별시 강동구 상일동 148,서울특별시 강동구 고덕로 지하359 (상일동),,정,127.16582909464951,37.55666336100953
서울교통공사,5호선,군자(능동),서울특별시 광진구 능동 275-5,서울특별시 광진구 천호대로 지하550 (능동) ?,,정,127.07901723992424,37.55736280910899
서울교통공사,5호선,천호(풍납토성),서울특별시 강동구 천호동 455,서울특별시 강동구 천호대로 지하997 (천호동),,정,127.12374218835372,37.53857905939403
서울교통공사,5호선,명일,서울특별시 강동구 명일동 312,서울특별시 강동구 양재대로 지하1632 (명일동),,정,127.1440010837298,37.55125994333855
서울교통공사,5호선,길동,서울특별시 강동구 길동 378,서울특별시 강동구 양재대로 지하1480 (길동),,정,127.13999919468053,37.537811307311685
서울교통공사,5호선,아차산(어린이대공원후문),서울특별시 광진구 능동 256-16,서울특별시 광진구 천호대로 지하657 (능동),,정,127.08937076551067,37.552401273235205
서울교통공사,,공덕,서울특별시 마포구 공덕동 439,서울특별시 마포구 백범로 지하200 (공덕동),6호선,정,126.95194771894022,37.543527535787284
서울교통공사,5호선,강동,서울특별시 강동구 천호동 447,서울특별시 강동구 천호대로 지하1097 (천호동),,정,127.1335295220686,37.53551998932251
서울교통공사,5호선,광나루(장신대),서울특별시 광진구 광장동 237,서울특별시 광진구 아차산로 지하571 (광장동),,정,127.10368637335927,37.54527902206884
서울교통공사,5호선,마천,서울특별시 송파구 마천동 307-4,서울특별시 송파구 마천로57길 지하7?(마천동),,정,127.15231993629811,37.494670383556134
서울교통공사,5호선,둔촌동,서울특별시 강동구 둔촌동 416,서울특별시 강동구 양재대로 지하1369 (둔촌동),,정,127.1361899044837,37.52764134048571
서울교통공사,,광흥창(서강),서울특별시 마포구 창전동 145-17,서울특별시 마포구 독막로 지하165 (창전동),6호선,정,126.93193960804997,37.54748543862176
서울교통공사,5호선,오금,서울특별시 송파구 오금동 44-2,서울특별시 송파구 오금로 지하321?(오금동),,정,127.12787978010067,37.50226651767043
서울교통공사,5호선,올림픽공원(한국체대),서울특별시 송파구 방이동 89-28,서울특별시 송파구 양재대로 지하1233 (방이동),,정,127.1306005209625,37.516087503408635
